Season,Region,County,CDC Week,Week Ending Date,Count,Age Group
2020 - 2021,CAPITAL DISTRICT,ALBANY,41,10/10/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,41,10/10/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,41,10/10/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,41,10/10/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,41,10/10/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,42,10/17/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,42,10/17/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,42,10/17/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,42,10/17/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,42,10/17/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,43,10/24/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,43,10/24/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,43,10/24/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,43,10/24/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,43,10/24/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,44,10/31/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,44,10/31/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,44,10/31/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,44,10/31/2020,1,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,44,10/31/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,45,11/07/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,45,11/07/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,45,11/07/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,45,11/07/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,45,11/07/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,46,11/14/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,46,11/14/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,46,11/14/2020,1,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,46,11/14/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,46,11/14/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,47,11/21/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,47,11/21/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,47,11/21/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,47,11/21/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,47,11/21/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,48,11/28/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,48,11/28/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,48,11/28/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,48,11/28/2020,1,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,48,11/28/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,49,12/05/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,49,12/05/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,49,12/05/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,49,12/05/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,49,12/05/2020,0,65+
