Season,Region,County,CDC Week,Week Ending Date,Age Group,Count,Centroid,FIPS
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,0-4,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,5-17,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,18-49,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,50-64,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,65+,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,0-4,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,5-17,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,18-49,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,50-64,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,65+,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,0-4,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,5-17,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,18-49,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,50-64,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,65+,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,0-4,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,5-17,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,18-49,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,50-64,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,65+,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,0-4,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,5-17,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,18-49,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,50-64,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,65+,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,0-4,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,5-17,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,18-49,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,50-64,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,65+,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,0-4,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,5-17,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,18-49,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,50-64,4,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,65+,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,0-4,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,5-17,9,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,18-49,9,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,50-64,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,65+,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,0-4,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,5-17,5,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,18-49,23,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,50-64,6,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,65+,4,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,0-4,10,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,5-17,11,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,18-49,15,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,50-64,9,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,65+,11,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,0-4,9,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,5-17,14,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,18-49,39,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,50-64,19,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,65+,13,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,0-4,18,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,5-17,33,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,18-49,41,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,50-64,17,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,65+,13,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,0-4,17,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,5-17,26,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,18-49,59,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,50-64,21,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,65+,26,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,UNKNOWN,0,"(42.5882713, -73.9740136)",36001
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,18-49,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,65+,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,40,10/07/2023,UNKNOWN,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,0-4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,5-17,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,18-49,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,50-64,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,41,10/14/2023,65+,0,"(42.2478938, -78.0261758)",36003
