Season,Region,County,CDC Week,Week Ending Date,Age Group,Case Count,Hospitalization Count,Coordinate,FIPS
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,0-4,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,5-17,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,18-49,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,40,10/07/2023,65+,3,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,5-17,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,18-49,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,50-64,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,41,10/14/2023,65+,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,18-49,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,42,10/21/2023,50-64,3,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,5-17,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,43,10/28/2023,18-49,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,5-17,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,18-49,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,44,11/04/2023,65+,2,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,5-17,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,45,11/11/2023,50-64,1,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,0-4,3,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,5-17,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,18-49,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,50-64,4,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,46,11/18/2023,65+,1,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,0-4,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,5-17,9,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,18-49,9,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,47,11/25/2023,50-64,1,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,0-4,2,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,5-17,5,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,18-49,23,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,50-64,6,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,48,12/02/2023,65+,4,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,0-4,10,2,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,5-17,11,0,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,18-49,15,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,50-64,9,4,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,49,12/09/2023,65+,11,7,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,0-4,9,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,5-17,14,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,18-49,39,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,50-64,19,9,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,50,12/16/2023,65+,13,3,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,0-4,18,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,5-17,33,4,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,18-49,41,5,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,50-64,17,1,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,51,12/23/2023,65+,13,4,"(42.5882713, -73.9740136)",36001
2023-2024,CAPITAL DISTRICT,ALBANY,52,12/30/2023,0-4,17,2,"(42.5882713, -73.9740136)",36001
